Transaction Amount,Transaction Frequency,Geographic Location,Time of Transaction,Cardholder’s Purchase History,Merchant Category,CNP Transactions,Device Information,Velocity Checks,Failed Authentication Attempts,Card Expiration Date and CVV,International Transactions,Fraudulent
15.918000000000001,7,Local,Unusual,Inconsistent,High Risk,Yes,Known,High,None,Incorrect,No,True
125.59,2,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
461.59999999999997,1,Foreign,Unusual,Inconsistent,High Risk,No,Unknown,High,None,Correct,Yes,True
78.72,2,Foreign,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
55.1,0,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
103.82,0,Local,Unusual,Consistent,High Risk,No,Known,High,None,Correct,No,False
57.55,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
222.35,1,Foreign,Unusual,Inconsistent,Low Risk,Yes,Unknown,Normal,Multiple,Correct,Yes,True
331.49,3,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
241.8,7,Foreign,Usual,Inconsistent,High Risk,Yes,Unknown,High,None,Correct,No,True
156.89,3,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,Yes,False
75.27,0,Local,Usual,Consistent,Low Risk,Yes,Unknown,Normal,None,Correct,No,False
83.94,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
259.83,1,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
7.37,4,Local,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
9.12,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
2.04,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
178.75,4,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
150.58,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
204.03,3,Foreign,Usual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
384.52,2,Foreign,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
160.52,0,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
61.89,2,Local,Usual,Consistent,High Risk,Yes,Known,Normal,None,Correct,No,False
151.65,3,Foreign,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
12.59,1,Local,Usual,Consistent,Low Risk,No,Known,High,None,Correct,No,False
102.14,3,Local,Unusual,Consistent,High Risk,No,Known,Normal,None,Correct,No,False
15.47,1,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
289.44,2,Local,Usual,Consistent,High Risk,No,Known,High,None,Incorrect,No,False
73.78,3,Local,Unusual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
53.56,5,Local,Usual,Consistent,Low Risk,Yes,Known,Normal,None,Correct,No,False
30.73,2,Local,Usual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
29.766000000000005,8,Local,Unusual,Consistent,High Risk,Yes,Known,Normal,Multiple,Correct,No,True
60.91,2,Local,Unusual,Consistent,Low Risk,No,Known,Normal,None,Correct,No,False
